year,month,geography,record_count,burned_acres,named_record_count,records_with_coordinates,certified_or_final_count,source_id,source_scope,coverage_tier,coverage_status,calendar_window_complete,provisional,comparable_over_time,causal_smoke_attribution
1978,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1978,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1978,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1978,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1978,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1978,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1978,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1979,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1979,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1979,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1979,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1979,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1979,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1979,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1979,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1979,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1979,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1979,11,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1979,12,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1980,1,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1980,2,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1980,3,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1980,4,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1980,5,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1980,6,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1980,7,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1980,8,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1980,9,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
1980,10,United States,,,,,,,,none,no_national_incident_catalog,false,false,false,false
